date,Type 1 Departments - Major A&E,Type 2 Departments - Single Specialty,Type 3 Departments - Other A&E/Minor Injury Unit,Total Attendances < 4 hours,Type 1 Departments - Major A&E.1,Type 2 Departments - Single Specialty.1,Type 3 Departments - Other A&E/Minor Injury Unit.1,Total Attendances > 4 hours,Percentage in 4 hours or less (all),Percentage in 4 hours or less (type 1),Percentage in 4 hours or less (type 2),Percentage in 4 hours or less (type 3)
2016-06-01,1100964.0,51783.0,621143.0,1773890.0,181535.0,397.0,2980.0,184912.0,0.9055994429248081,0.8584521313466911,0.9923917209658873,0.9952253001411581
2016-07-01,1155474.0,52407.0,669180.0,1877061.0,198003.0,554.0,3416.0,201973.0,0.9028524786030435,0.8537078945560213,0.9895394724419856,0.9949211711041992
2016-08-01,1083307.0,51854.0,623321.0,1758482.0,171132.0,550.0,2737.0,174419.0,0.909763097023593,0.863578858756783,0.9895046179680941,0.9956282005820547
2016-09-01,1098740.0,52114.0,619013.0,1769867.0,178838.0,407.0,3352.0,182597.0,0.9064786853944554,0.860017940196215,0.992250718760115,0.9946140930161561
2016-10-01,1102967.0,50464.0,629248.0,1782679.0,214604.0,556.0,3977.0,219137.0,0.8905308979446662,0.8371214909860645,0.9891023128185026,0.9937194520115283
2016-11-01,1040079.0,49660.0,596419.0,1686158.0,218126.0,319.0,3268.0,221713.0,0.8837903610883545,0.8266371537229624,0.9936173192740951,0.9945504905058805
2016-12-01,1013156.0,45290.0,617303.0,1675749.0,263977.0,279.0,4562.0,268818.0,0.8617594559611471,0.7933050042556257,0.993877416664838,0.9926640026372283
2017-01-01,960146.0,47633.0,605881.0,1613660.0,277031.0,406.0,4175.0,281612.0,0.851413411900772,0.7760781197839921,0.9915485334832116,0.9931563659729599
2017-02-01,915403.0,45394.0,558406.0,1519203.0,212506.0,339.0,3571.0,216416.0,0.8753090395991286,0.8115929565239749,0.992587409529224,0.9936456474197343
2017-03-01,1113881.0,52671.0,647890.0,1814442.0,195626.0,684.0,5082.0,201392.0,0.9000949482943537,0.8506109551151693,0.9871802080404836,0.992217124164589
2017-04-01,1074366.0,46813.0,643653.0,1764832.0,179377.0,737.0,4816.0,184930.0,0.9051525263083392,0.8569268183351771,0.9845005257623554,0.9925732764403541
2017-05-01,1140074.0,50490.0,663353.0,1853917.0,207223.0,547.0,5102.0,212872.0,0.8970035160821932,0.8461935267428042,0.9892822854007877,0.9923674742503235
2017-06-01,1116618.0,50188.0,642305.0,1809111.0,180259.0,424.0,4262.0,184945.0,0.9072518525056468,0.8610053227869721,0.991622540109065,0.9934082624074535
2017-07-01,1153599.0,49842.0,670322.0,1873763.0,195049.0,527.0,4605.0,200181.0,0.9034781074127363,0.8553744194185584,0.9895372153507117,0.9931770398872767
2017-08-01,1073662.0,47408.0,616886.0,1737956.0,182993.0,504.0,3210.0,186707.0,0.9029923680145563,0.8543808762150311,0.9894807146435131,0.9948233821859841
2017-09-01,1068942.0,46860.0,611132.0,1726934.0,195015.0,390.0,3622.0,199027.0,0.8966609396555797,0.8457107322480116,0.9917460317460317,0.9941082123906473
2017-10-01,1124093.0,49856.0,664586.0,1838535.0,201118.0,342.0,4142.0,205602.0,0.8994186788850258,0.8482369977309274,0.9931869795609387,0.9938061513799332
2017-11-01,1064496.0,47776.0,642617.0,1754889.0,217417.0,447.0,4218.0,222082.0,0.8876655246839736,0.8303964465607261,0.990730564253572,0.9934790170599921
2017-12-01,996727.0,41837.0,664497.0,1703061.0,292860.0,321.0,7712.0,300893.0,0.8498503458662225,0.7729040382696165,0.9923857868020305,0.9885273776459405
2018-01-01,969985.0,49495.0,686577.0,1706057.0,287041.0,492.0,6496.0,294029.0,0.8529918213516818,0.7716507057133265,0.990157440934643,0.9906272499433681
2018-02-01,885797.0,41332.0,620696.0,1547825.0,265960.0,570.0,5657.0,272187.0,0.8504476893558943,0.7690832354394199,0.9863968307002052,0.9909683517122134
2018-03-01,993095.0,45703.0,695755.0,1734553.0,306701.0,952.0,7579.0,315232.0,0.8462121637147311,0.7640391261397943,0.9795948987246812,0.9892241808301604
2018-04-01,1025362.0,46157.0,686086.0,1757605.0,220986.0,1099.0,4679.0,226764.0,0.8857248828216929,0.8226931803958445,0.9767436939224649,0.9932263504954651
2018-05-01,1153259.0,48511.0,754686.0,1956456.0,201452.0,708.0,5842.0,208002.0,0.9039011151983545,0.8512952208995129,0.9856153111603243,0.9923184945195969
2018-06-01,1118941.0,48801.0,732782.0,1900524.0,187798.0,834.0,4786.0,193418.0,0.9076297242234981,0.8562849964683078,0.9831973405862798,0.9935111067725281
2018-07-01,1139867.0,48988.0,758217.0,1947072.0,225992.0,858.0,5974.0,232824.0,0.8931949047110505,0.8345422184866813,0.9827869839104442,0.9921825826265946
2018-08-01,1051958.0,48589.0,692068.0,1792615.0,200809.0,528.0,3902.0,205239.0,0.8972702710007838,0.8397076232052728,0.9892501577865097,0.9943934364986997
2018-09-01,1052878.0,47000.0,684061.0,1783939.0,216210.0,622.0,4924.0,221756.0,0.8894368286304747,0.8296335636299453,0.9869388097937928,0.9928532551506927
2018-10-01,1097167.0,50587.0,703188.0,1850942.0,222865.0,695.0,4990.0,228550.0,0.8900933497219513,0.8311669717097767,0.9864474864474865,0.9929537489162329
2018-11-01,1059425.0,47788.0,678032.0,1785245.0,245928.0,677.0,5997.0,252602.0,0.8760446687116353,0.8116003870217482,0.9860311565046941,0.9912328278479421
2018-12-01,1037320.0,42668.0,690016.0,1770004.0,270039.0,404.0,7071.0,277514.0,0.8644632183941728,0.7934469415057379,0.9906203566121843,0.98985635939273
2019-01-01,1022576.0,46983.0,713158.0,1782717.0,321778.0,633.0,8285.0,330696.0,0.843525141560121,0.7606448896644783,0.9867061491935484,0.9885160712627331
2019-02-01,935100.0,43517.0,667942.0,1646559.0,299228.0,666.0,8494.0,308388.0,0.8422525009629417,0.7575782125982721,0.9849263291311138,0.9874430101295614
2019-03-01,1091504.0,49703.0,736094.0,1877301.0,281557.0,787.0,7906.0,290250.0,0.8660931161481321,0.7949421038103915,0.9844127550009903,0.9893736559139785
2019-04-01,1026604.0,48481.0,722899.0,1797984.0,304221.0,800.0,9160.0,314181.0,0.8512516777808552,0.7714042041590743,0.983766563178507,0.9874873473312943
2019-05-01,958786.0,42772.0,692743.0,1694301.0,253619.0,639.0,7207.0,261465.0,0.8663106936105853,0.7908133008359418,0.9852802285135104,0.9897035502535896
2019-06-01,930754.0,41148.0,666559.0,1638461.0,250465.0,781.0,7336.0,258582.0,0.8636920723462779,0.7879605729335543,0.9813732738677288,0.9891140311176073
2019-07-01,990283.0,43991.0,729722.0,1763996.0,264384.0,751.0,10380.0,275515.0,0.8649112458819785,0.7892795458874745,0.9832148764024854,0.9859749061615831
2019-08-01,919189.0,41225.0,693581.0,1653995.0,254243.0,657.0,7830.0,262730.0,0.8629276500280426,0.7833338446539723,0.9843130700539612,0.9888367875610733
2019-09-01,915506.0,40216.0,674454.0,1630176.0,273446.0,815.0,7936.0,282197.0,0.852436214064934,0.7700109003559438,0.980136969608345,0.9883702867861487
2019-10-01,908243.0,42104.0,685197.0,1635544.0,311503.0,886.0,7636.0,320025.0,0.836351977352883,0.7446165021242127,0.9793905559432426,0.9889785850269834
2019-11-01,863910.0,39579.0,668078.0,1571567.0,347294.0,846.0,9988.0,358128.0,0.8144121221229261,0.7132654779871929,0.9790723562152134,0.9852698704845841
2019-12-01,834037.0,36741.0,695084.0,1565862.0,381159.0,468.0,14571.0,396198.0,0.7980703954007523,0.6863394876217499,0.9874223978069822,0.9794674877229076
2020-01-01,836435.0,41930.0,676950.0,1555315.0,338870.0,665.0,9241.0,348776.0,0.816828082271278,0.7116748418495624,0.9843878389482333,0.9865329041039594
2020-02-01,799611.0,38016.0,630752.0,1468379.0,296195.0,465.0,8647.0,305307.0,0.8278686306369899,0.7297012427382219,0.9879161144460903,0.9864763629595917
2020-03-01,685711.0,28127.0,448258.0,1162096.0,212557.0,257.0,3987.0,216801.0,0.8427721577463726,0.7633701746026799,0.990945603156708,0.9911839821335781
2020-04-01,530642.0,17516.0,191313.0,739471.0,77357.0,44.0,734.0,78135.0,0.904434409727913,0.8727678828419125,0.9974943052391799,0.9961780189224513
